#,Company,Symbol,Weight,Price,Chg,% Chg
87,Constellation Energy Corp,CEG,0.197,90.44,-1.11,(-1.22%)
88,Illumina Inc,ILMN,0.197,188.3,0.81,(0.43%)
89,Datadog Inc,DDOG,0.194,98.38,-0.01,(-0.01%)
90,ANSYS Inc,ANSS,0.19,326.86,-3.41,(-1.03%)
91,Align Technology Inc,ALGN,0.18,333.27,-20.4,(-5.76%)
92,Atlassian Corp,TEAM,0.169,169.14,1.33,(0.79%)
93,Walgreens Boots Alliance Inc,WBA,0.163,29.01,0.52,(1.83%)
94,eBay Inc,EBAY,0.159,44.95,0.26,(0.58%)
95,Diamondback Energy Inc,FANG,0.158,131.82,0.46,(0.35%)
96,Enphase Energy Inc,ENPH,0.153,169.43,1.95,(1.16%)
97,Zscaler Inc,ZS,0.141,145.93,-0.38,(-0.26%)
98,Sirius XM Holdings Inc,SIRI,0.116,4.58,0.05,(1.10%)
99,Zoom Video Communications Inc,ZM,0.113,68.13,0.25,(0.36%)
100,JD.com Inc ADR,JD,0.103,35.25,1.12,(3.28%)
101,Lucid Group Inc,LCID,0.084,7.33,0.44,(6.31%)
