#,Company,Symbol,Weight,Price,Chg,% Chg
100,Fiserv Inc,FI,0.209542,126.66,0.51,(0.40%)
101,Boston Scientific Corp,BSX,0.209251,53.57,-0.52,(-0.96%)
102,Palo Alto Networks Inc,PANW,0.208036,254.5,-1.01,(-0.40%)
103,Progressive Corp,PGR,0.207828,132.69,0.32,(0.24%)
104,Regeneron Pharmaceuticals,REGN,0.207597,717.13,-1.41,(-0.20%)
105,Southern Co,SO,0.20523,70.35,0.1,(0.14%)
106,Becton Dickinson and Co,BDX,0.201301,261.63,-2.38,(-0.90%)
107,Paypal Holdings Inc,PYPL,0.200333,68.08,1.35,(2.02%)
108,Equinix Inc,EQIX,0.197298,781.81,-2.13,(-0.27%)
109,Aon Plc Class A,AON,0.1905,338.78,-6.43,(-1.86%)
110,Schlumberger Ltd,SLB,0.187509,49.33,0.21,(0.44%)
111,Illinois Tool Works,ITW,0.186593,228.35,-21.8,(-8.72%)
112,Csx Corp,CSX,0.186549,34.38,0.28,(0.83%)
113,Duke Energy Corp,DUK,0.185463,90.84,1.1,(1.22%)
114,Micron Technology Inc,MU,0.185102,63.8,0.69,(1.09%)
115,Kla Corp,KLAC,0.180462,480.18,-4.84,(-1.00%)
116,Eog Resources Inc,EOG,0.180354,114.8,0.36,(0.32%)
117,Cme Group Inc,CME,0.178875,183.45,-1.84,(-1.00%)
118,Synopsys Inc,SNPS,0.178376,433.4,-2.02,(-0.46%)
119,Air Products & Chemicals Inc,APD,0.17827,299.44,-0.09,(-0.03%)
120,Northrop Grumman Corp,NOC,0.176185,457.16,1.36,(0.30%)
121,Waste Management Inc,WM,0.173036,171.8,-1.62,(-0.94%)
122,Colgate Palmolive Co,CL,0.172913,77.32,0.28,(0.36%)
123,Cadence Design Sys Inc,CDNS,0.172882,235.48,0.96,(0.41%)
124,Intercontinental Exchange In,ICE,0.169856,112.9,-0.18,(-0.16%)
125,Hca Healthcare Inc,HCA,0.168478,295.48,-8.0,(-2.64%)
126,Sherwin Williams Co,SHW,0.168252,241.78,-23.7,(-8.94%)
127,Target Corp,TGT,0.162911,134.58,2.68,(2.03%)
128,Activision Blizzard Inc,ATVI,0.161382,83.49,-0.81,(-0.97%)
129,Ford Motor Co,F,0.159752,15.23,0.1,(0.66%)
130,Chipotle Mexican Grill Inc,CMG,0.158583,2136.81,-2.19,(-0.10%)
131,Mckesson Corp,MCK,0.157255,414.45,-12.9,(-3.01%)
132,O Reilly Automotive Inc,ORLY,0.156451,946.17,-9.13,(-0.96%)
133,Fedex Corp,FDX,0.154693,248.28,0.38,(0.15%)
134,Edwards Lifesciences Corp,EW,0.153878,91.5,-2.83,(-3.00%)
135,Freeport Mcmoran Inc,FCX,0.153673,40.96,0.96,(2.39%)
136,Humana Inc,HUM,0.150193,445.13,-2.0,(-0.45%)
137,3m Co W/d,MMM,0.148446,101.16,1.07,(1.07%)
138,Moody S Corp,MCO,0.146715,346.26,-1.47,(-0.42%)
139,General Motors Co,GM,0.144524,39.03,0.47,(1.22%)
140,Nxp Semiconductors Nv,NXPI,0.142323,206.7,2.02,(0.98%)
141,Norfolk Southern Corp,NSC,0.138835,229.93,3.17,(1.40%)
142,Emerson Electric Co,EMR,0.138807,90.73,0.34,(0.38%)
143,Roper Technologies Inc,ROP,0.136876,477.08,-3.72,(-0.77%)
144,Pnc Financial Services Group,PNC,0.136268,127.65,1.7,(1.35%)
145,Amphenol Corp Cl A,APH,0.135661,84.05,-0.9,(-1.06%)
146,Parker Hannifin Corp,PH,0.134474,390.99,0.95,(0.24%)
147,Dexcom Inc,DXCM,0.133208,127.02,-1.49,(-1.16%)
148,Marathon Petroleum Corp,MPC,0.133119,116.77,0.17,(0.15%)
149,Crown Castle Inc,CCI,0.132402,116.11,2.17,(1.90%)
150,Microchip Technology Inc,MCHP,0.13192,90.49,0.9,(1.00%)
151,Motorola Solutions Inc,MSI,0.131817,292.65,-0.63,(-0.21%)
152,Fortinet Inc,FTNT,0.131535,75.09,-0.5,(-0.66%)
153,Pioneer Natural Resources Co,PXD,0.130296,207.26,0.08,(0.04%)
154,General Dynamics Corp,GD,0.130122,217.76,2.61,(1.21%)
155,Marriott International Cl A,MAR,0.127453,184.27,0.58,(0.32%)
156,Arthur J Gallagher & Co,AJG,0.126562,216.23,-3.34,(-1.52%)
157,Johnson Controls Internation,JCI,0.125489,67.93,-0.22,(-0.32%)
158,Kimberly Clark Corp,KMB,0.125231,138.51,0.45,(0.33%)
159,Transdigm Group Inc,TDG,0.124659,895.32,1.15,(0.13%)
160,Ecolab Inc,ECL,0.124347,186.62,-0.07,(-0.04%)
161,Public Storage,PSA,0.123993,294.5,2.62,(0.90%)
162,Us Bancorp,USB,0.123723,33.6,0.56,(1.68%)
163,Autozone Inc,AZO,0.123469,2438.3,-55.1,(-2.21%)
164,Estee Lauder Companies Cl A,EL,0.122275,197.9,1.52,(0.77%)
165,Sempra Energy,SRE,0.121815,144.76,-0.83,(-0.57%)
166,General Mills Inc,GIS,0.121506,76.64,-0.07,(-0.08%)
167,Te Connectivity Ltd,TEL,0.119841,140.46,0.3,(0.21%)
168,Autodesk Inc,ADSK,0.118737,202.04,-2.57,(-1.26%)
169,Trane Technologies Plc,TT,0.118142,191.31,0.05,(0.02%)
170,Phillips 66,PSX,0.11777,95.71,0.33,(0.35%)
171,Monster Beverage Corp,MNST,0.117413,56.81,-0.63,(-1.10%)
172,Paccar Inc,PCAR,0.117114,83.66,0.01,(0.01%)
173,American Electric Power,AEP,0.116104,85.05,0.85,(1.01%)
174,Dominion Energy Inc,D,0.115998,52.25,0.46,(0.89%)
175,Cintas Corp,CTAS,0.115409,489.0,-8.08,(-1.63%)
176,Occidental Petroleum Corp,OXY,0.114694,59.09,0.29,(0.49%)
177,Valero Energy Corp,VLO,0.114111,117.84,0.54,(0.46%)
178,Capital One Financial Corp,COF,0.112266,111.2,1.83,(1.67%)
179,Iqvia Holdings Inc,IQV,0.112061,220.5,-4.28,(-1.90%)
180,American International Group,AIG,0.112061,58.06,0.52,(0.90%)
181,Carrier Global Corp,CARR,0.11187,50.1,0.39,(0.78%)
182,Idexx Laboratories Inc,IDXX,0.111867,493.78,-8.46,(-1.68%)
183,Nucor Corp,NUE,0.111492,166.5,2.52,(1.54%)
184,Archer Daniels Midland Co,ADM,0.111356,76.85,1.29,(1.71%)
185,Biogen Inc,BIIB,0.110397,282.37,-2.49,(-0.87%)
186,Corteva Inc,CTVA,0.109987,58.0,0.7,(1.22%)
187,On Semiconductor,ON,0.109563,96.73,2.15,(2.27%)
188,Exelon Corp,EXC,0.108812,40.82,0.08,(0.20%)
189,Realty Income Corp,O,0.108314,60.23,0.44,(0.73%)
190,Welltower Inc,WELL,0.108179,81.49,0.6,(0.74%)
191,Truist Financial Corp,TFC,0.108063,31.23,0.88,(2.88%)
192,Travelers Cos Inc,TRV,0.107875,173.2,-0.46,(-0.26%)
193,Arista Networks Inc,ANET,0.107818,159.96,-2.1,(-1.30%)
194,Moderna Inc,MRNA,0.107692,121.45,-0.06,(-0.05%)
195,Constellation Brands Inc A,STZ,0.107161,247.23,1.1,(0.45%)
196,Williams Cos Inc,WMB,0.106335,32.7,0.07,(0.20%)
197,Copart Inc,CPRT,0.104892,90.61,-0.6,(-0.66%)
198,Yum Brands Inc,YUM,0.10469,138.21,-0.34,(-0.25%)
199,Hilton Worldwide Holdings In,HLT,0.104223,145.52,-0.03,(-0.02%)
200,Charter Communications Inc A,CHTR,0.103973,365.8,-1.57,(-0.43%)
201,Ross Stores Inc,ROST,0.103743,111.16,-0.97,(-0.87%)
202,Aflac Inc,AFL,0.103272,69.83,0.03,(0.04%)
203,Dr Horton Inc,DHI,0.102173,120.35,-1.34,(-1.11%)
204,Simon Property Group Inc,SPG,0.101479,117.06,1.58,(1.37%)
205,Hess Corp,HES,0.101376,137.7,1.75,(1.29%)
206,Rockwell Automation Inc,ROK,0.101253,336.13,6.68,(2.03%)
207,Sysco Corp,SYY,0.101082,77.52,3.32,(4.48%)
208,Msci Inc,MSCI,0.100744,472.75,3.46,(0.74%)
209,Dow Inc,DOW,0.10059,53.79,0.53,(0.99%)
210,Dollar General Corp,DG,0.100105,170.75,0.97,(0.57%)
211,L3harris Technologies Inc,LHX,0.100073,197.87,2.1,(1.07%)
212,Ametek Inc,AME,0.099922,161.22,-0.66,(-0.41%)
213,Otis Worldwide Corp,OTIS,0.099872,88.57,-0.44,(-0.49%)
214,Centene Corp,CNC,0.09983,67.09,-0.36,(-0.54%)
215,Hershey Co,HSY,0.098653,251.79,2.09,(0.84%)
216,Metlife Inc,MET,0.097854,57.5,0.97,(1.72%)
217,Costar Group Inc,CSGP,0.097147,88.3,-0.7,(-0.79%)
218,Paychex Inc,PAYX,0.096288,110.92,-0.95,(-0.85%)
219,Agilent Technologies Inc,A,0.09551,119.38,-0.88,(-0.73%)
220,Ww Grainger Inc,GWW,0.0955,783.67,-4.92,(-0.62%)
221,Ameriprise Financial Inc,AMP,0.093932,335.24,3.08,(0.93%)
222,Ppg Industries Inc,PPG,0.093217,212.73,64.43,(43.45%)
223,Cummins Inc,CMI,0.093092,251.72,6.56,(2.68%)
224,Xcel Energy Inc,XEL,0.091303,62.88,0.71,(1.14%)
225,Kinder Morgan Inc,KMI,0.091291,17.2,-0.03,(-0.15%)
226,Newmont Corp,NEM,0.091011,42.83,0.17,(0.40%)
227,Electronic Arts Inc,EA,0.090789,130.09,0.39,(0.30%)
228,Fastenal Co,FAST,0.090507,58.49,-0.5,(-0.85%)
229,Old Dominion Freight Line,ODFL,0.089886,367.18,-2.57,(-0.70%)
230,Cognizant Tech Solutions A,CTSH,0.089284,65.66,0.38,(0.58%)
231,Digital Realty Trust Inc,DLR,0.089273,117.05,3.18,(2.80%)
232,Verisk Analytics Inc,VRSK,0.088055,223.14,-2.89,(-1.28%)
233,Dupont De Nemours Inc,DD,0.08797,71.62,0.18,(0.24%)
234,Bank of New York Mellon Corp,BK,0.087505,45.1,0.58,(1.30%)
235,Prudential Financial Inc,PRU,0.087098,89.01,0.79,(0.90%)
236,Fidelity National Info Serv,FIS,0.087095,59.0,4.3,(7.86%)
237,Resmed Inc,RMD,0.085941,216.5,-2.0,(-0.92%)
238,Lennar Corp A,LEN,0.085422,125.44,0.13,(0.10%)
239,Ge Healthcare Technology,GEHC,0.085399,80.2,-1.04,(-1.28%)
240,Baker Hughes Co,BKR,0.084969,31.6,-0.01,(-0.03%)
